date,cpi_index_2015_100
1996-05-01,76.12633000000001
1996-06-01,76.21961999999999
1996-07-01,76.31291
1996-08-01,76.31291
1996-09-01,76.31291
1996-10-01,76.31291
1996-11-01,76.21961999999999
1996-12-01,76.49949000000001
1997-01-01,77.15253
1997-02-01,77.24583
1997-03-01,77.24583
1997-04-01,77.15253
1997-05-01,77.33912
1997-06-01,77.43241
1997-07-01,78.08546
1997-08-01,78.17875
1997-09-01,77.99216
1997-10-01,77.89887
1997-11-01,77.89887
1997-12-01,78.08546
1998-01-01,78.08546
1998-02-01,78.27204
1998-03-01,78.17875
1998-04-01,78.27204
1998-05-01,78.36533
1998-06-01,78.45863
1998-07-01,78.7385
1998-08-01,78.55192
1998-09-01,78.36533
1998-10-01,78.27204
1998-11-01,78.27204
1998-12-01,78.36533
1999-01-01,78.27204
1999-02-01,78.36533
1999-03-01,78.36533
1999-04-01,78.7385
1999-05-01,78.7385
1999-06-01,78.83179
1999-07-01,79.20496
1999-08-01,79.11166999999999
1999-09-01,78.92509
1999-10-01,78.83179
1999-11-01,79.01838000000001
1999-12-01,79.29826
2000-01-01,79.48484
2000-02-01,79.57813
2000-03-01,79.57813
2000-04-01,79.57813
2000-05-01,79.48484
2000-06-01,79.85801
2000-07-01,80.23118000000001
2000-08-01,80.04459
2000-09-01,80.23118000000001
2000-10-01,80.13789
2000-11-01,80.23118000000001
2000-12-01,80.88422
2001-01-01,80.60434000000001
2001-02-01,81.0708
2001-03-01,81.0708
2001-04-01,81.44397
2001-05-01,81.72385
2001-06-01,81.81714000000001
2001-07-01,81.91043
2001-08-01,81.72385
2001-09-01,81.72385
2001-10-01,81.63055
2001-11-01,81.44397
2001-12-01,82.19031
2002-01-01,82.2836
2002-02-01,82.56348
2002-03-01,82.75005999999999
2002-04-01,82.65677
2002-05-01,82.75005999999999
2002-06-01,82.75005999999999
2002-07-01,82.84335
2002-08-01,82.75005999999999
2002-09-01,82.75005999999999
2002-10-01,82.65677
2002-11-01,82.37689
2002-12-01,83.12323
2003-01-01,83.12323
2003-02-01,83.58969
2003-03-01,83.68298
2003-04-01,83.40311
2003-05-01,83.21651999999999
2003-06-01,83.4964
2003-07-01,83.68298
2003-08-01,83.68298
2003-09-01,83.58969
2003-10-01,83.58969
2003-11-01,83.40311
2003-12-01,84.05615
2004-01-01,84.05615
2004-02-01,84.24274
2004-03-01,84.52261
2004-04-01,84.80248
2004-05-01,84.98907
2004-06-01,84.98907
2004-07-01,85.17565
2004-08-01,85.26894
2004-09-01,85.08236
2004-10-01,85.17565
2004-11-01,84.98907
2004-12-01,85.92199000000001
2005-01-01,85.26894
2005-02-01,85.64211
2005-03-01,86.01528
2005-04-01,85.8287
2005-05-01,86.01528
2005-06-01,86.10857
2005-07-01,86.48174
2005-08-01,86.57504
2005-09-01,86.66833000000001
2005-10-01,86.76162
2005-11-01,86.48174
2005-12-01,87.13479
2006-01-01,86.85491
2006-02-01,87.22808
2006-03-01,87.22808
2006-04-01,87.50796
2006-05-01,87.50796
2006-06-01,87.69454
2006-07-01,88.06770999999999
2006-08-01,87.88113
2006-09-01,87.60125
2006-10-01,87.69454
2006-11-01,87.69454
2006-12-01,88.34759
2007-01-01,88.34759
2007-02-01,88.72075
2007-03-01,88.90733
2007-04-01,89.37379
2007-05-01,89.37379
2007-06-01,89.37379
2007-07-01,89.84026
2007-08-01,89.74696
2007-09-01,89.93355
2007-10-01,90.12013
2007-11-01,90.58659
2007-12-01,91.14635
2008-01-01,90.86646999999999
2008-02-01,91.23964000000001
2008-03-01,91.7061
2008-04-01,91.51952
2008-05-01,92.07927
2008-06-01,92.26585
2008-07-01,92.82561
2008-08-01,92.54573
2008-09-01,92.45244
2008-10-01,92.26585
2008-11-01,91.79939
2008-12-01,92.17256
2009-01-01,91.7061
2009-02-01,92.26585
2009-03-01,92.07927
2009-04-01,92.17256
2009-05-01,92.07927
2009-06-01,92.35915
2009-07-01,92.35915
2009-08-01,92.54573
2009-09-01,92.26585
2009-10-01,92.26585
2009-11-01,92.17256
2009-12-01,92.91889
2010-01-01,92.35915
2010-02-01,92.73232
2010-03-01,93.19877
2010-04-01,93.29205999999999
2010-05-01,93.19877
2010-06-01,93.19877
2010-07-01,93.38535
2010-08-01,93.47865
2010-09-01,93.38535
2010-10-01,93.47865
2010-11-01,93.57194
2010-12-01,94.13169
2011-01-01,93.94511
2011-02-01,94.50486
2011-03-01,95.06461
2011-04-01,95.06461
2011-05-01,95.06461
2011-06-01,95.15791
2011-07-01,95.34449000000001
2011-08-01,95.43778
2011-09-01,95.62437
2011-10-01,95.62437
2011-11-01,95.81095
2011-12-01,95.99754
2012-01-01,95.90424
2012-02-01,96.55729000000001
2012-03-01,97.11703
2012-04-01,96.93046
2012-05-01,96.93046
2012-06-01,96.74387
2012-07-01,97.11703
2012-08-01,97.4902
2012-09-01,97.5835
2012-10-01,97.5835
2012-11-01,97.67679
2012-12-01,97.95666999999999
2013-01-01,97.4902
2013-02-01,98.04996
2013-03-01,98.51642
2013-04-01,98.04996
2013-05-01,98.42313
2013-06-01,98.51642
2013-07-01,98.98288000000001
2013-08-01,98.98288000000001
2013-09-01,98.98288000000001
2013-10-01,98.7963
2013-11-01,98.98288000000001
2013-12-01,99.35605
2014-01-01,98.7963
2014-02-01,99.26276
2014-03-01,99.54263
2014-04-01,99.35605
2014-05-01,99.26276
2014-06-01,99.54263
2014-07-01,99.82251
2014-08-01,99.82251
2014-09-01,99.82251
2014-10-01,99.54263
2014-11-01,99.54263
2014-12-01,99.54263
2015-01-01,98.51642
2015-02-01,99.21654000000001
2015-03-01,99.71661999999999
2015-04-01,100.2167
2015-05-01,100.4167
2015-06-01,100.4167
2015-07-01,100.6168
2015-08-01,100.6168
2015-09-01,100.4167
2015-10-01,100.4167
2015-11-01,99.71661999999999
2015-12-01,99.71661999999999
2016-01-01,99.0165
2016-02-01,99.31655
2016-03-01,100.0167
2016-04-01,100.1167
2016-05-01,100.6168
2016-06-01,100.7168
2016-07-01,101.1169
2016-08-01,101.0168
2016-09-01,101.0168
2016-10-01,101.2169
2016-11-01,100.5168
2016-12-01,101.2169
2017-01-01,100.6168
2017-02-01,101.2169
2017-03-01,101.4169
2017-04-01,101.81700000000001
2017-05-01,101.81700000000001
2017-06-01,102.117
2017-07-01,102.5171
2017-08-01,102.6171
2017-09-01,102.7171
2017-10-01,102.5171
2017-11-01,102.117
2017-12-01,102.6171
2018-01-01,102.01700000000001
2018-02-01,102.3171
2018-03-01,102.9172
2018-04-01,103.1172
2018-05-01,103.9173
2018-06-01,104.0173
2018-07-01,104.4174
2018-08-01,104.5174
2018-09-01,104.7175
2018-10-01,104.9175
2018-11-01,104.2174
2018-12-01,104.2174
2019-01-01,103.4172
2019-02-01,103.8173
2019-03-01,104.2174
2019-04-01,105.2175
2019-05-01,105.4176
2019-06-01,105.7176
2019-07-01,106.2177
2019-08-01,106.0177
2019-09-01,106.0177
2019-10-01,106.1177
2019-11-01,105.3176
