Date,MSCI World
05/1986,37315.86455836853
06/1986,38964.87685528558
07/1986,38122.3030099966
08/1986,40205.47408020263
09/1986,38301.379937902806
10/1986,37221.11974386329
11/1986,39188.983541480375
12/1986,39397.43380524251
01/1987,41379.913268859535
02/1987,41985.7985984723
03/1987,44508.67603346445
04/1987,46500.475719442176
05/1987,45997.36954796034
06/1987,46790.482265181614
07/1987,48410.797207517055
08/1987,51665.75346124784
09/1987,49438.17366903115
10/1987,40740.79873321381
11/1987,37341.57287678266
12/1987,37769.07474318494
01/1988,39090.532112761386
02/1988,42547.48087274064
03/1988,43230.87360797953
04/1988,43507.09835733133
05/1988,43049.40775144418
06/1988,44578.430632488744
07/1988,47696.05055256296
08/1988,46076.468068209615
09/1988,47672.260371439064
10/1988,49577.69969077026
11/1988,49261.73775213921
12/1988,49748.81832871593
01/1989,53580.84199138883
02/1989,53892.6805055043
03/1989,53892.35714919983
04/1989,55429.23370733391
05/1989,56379.14721838335
06/1989,56734.14911642507
07/1989,60378.235234212785
08/1989,59814.91112407635
09/1989,62432.676179708564
10/1989,58064.81577812076
11/1989,59504.358102430444
12/1989,58876.27141089383
01/1990,54469.11282492343
02/1990,51429.99883277154
03/1990,49156.68449757035
04/1990,47813.82234442719
05/1990,51972.21691778812
06/1990,51936.28935867181
07/1990,50812.9995671025
08/1990,44016.0874579192
09/1990,39425.50256748339
10/1990,41828.253659854156
11/1990,40313.38672740135
12/1990,41629.6305936351
01/1991,43244.68241785279
02/1991,46447.73767331349
03/1991,49050.62376089899
04/1991,52053.37269383303
05/1991,53928.89836108757
06/1991,52470.160906202706
07/1991,55002.868543330194
08/1991,53605.18691617787
09/1991,53477.03636276416
10/1991,54256.229988725274
11/1991,49935.25112253359
12/1991,51853.67873236816
01/1992,51236.91288564573
02/1992,51448.92953572151
03/1992,50319.72439921569
04/1992,50544.772196900834
05/1992,51534.956976487745
06/1992,48367.663297218875
07/1992,46169.35226846314
08/1992,46084.77317526819
09/1992,46702.0403355638
10/1992,47311.492594578995
11/1992,51297.011469143625
12/1992,51662.02036320776
01/1993,52831.35942978783
02/1993,55414.17284654824
03/1993,58899.15935812061
04/1993,59516.307344798566
05/1993,61022.25457271147
06/1993,62260.04096680266
07/1993,66220.8647951882
08/1993,69769.04850187238
09/1993,65741.37080178074
10/1993,68329.99619211246
11/1993,66179.55510872969
12/1993,69370.94192018236
01/1994,74932.61826972777
02/1994,73661.92817566161
03/1994,69012.78808871846
04/1994,71336.2296630011
05/1994,69966.8129412897
06/1994,68623.80010453315
07/1994,67758.0187956087
08/1994,69863.29749918073
09/1994,67283.39674238418
10/1994,67859.67431035535
11/1994,65866.59025232839
12/1994,67848.79977761375
01/1995,65448.54706750988
02/1995,65660.1314855241
03/1995,66135.23591583851
04/1995,67115.65392842748
05/1995,68720.20391014076
06/1995,68110.56963521108
07/1995,70672.21116160057
08/1995,71174.16333573827
09/1995,74171.33785793374
10/1995,71852.16986408907
11/1995,74491.96140926292
12/1995,77868.116807173
01/1996,80222.95613444911
02/1996,81158.72671395341
03/1996,82439.8017581856
