Date,JST-KZ Developed Markets
12/1899,5.437492149283005e-11
01/1900,5.2158341840936836e-11
02/1900,5.333816911444031e-11
03/1900,5.3160876116143566e-11
04/1900,5.973073414096534e-11
05/1900,6.375134248389447e-11
06/1900,6.054875427864341e-11
07/1900,6.25779563888843e-11
08/1900,6.857759927135673e-11
09/1900,6.530339460052155e-11
10/1900,6.224969164468094e-11
11/1900,6.122394472213462e-11
12/1900,6.062343465176055e-11
01/1901,6.3296700559931e-11
02/1901,6.695470012284587e-11
03/1901,6.954630748836268e-11
04/1901,6.925943572941803e-11
05/1901,6.68756152485962e-11
06/1901,6.847461487696175e-11
07/1901,6.804420327663211e-11
08/1901,5.831508007202863e-11
09/1901,5.6178460815583356e-11
10/1901,5.857835377192988e-11
11/1901,6.340839743730631e-11
12/1901,6.561708149969942e-11
01/1902,6.600889370845504e-11
02/1902,6.594617596284193e-11
03/1902,6.512682047155278e-11
04/1902,6.277750782963686e-11
05/1902,6.612047676361115e-11
06/1902,6.698152470035968e-11
07/1902,6.826655456484398e-11
08/1902,6.715692934546038e-11
09/1902,6.873758251809023e-11
10/1902,6.61592924774095e-11
11/1902,6.878218544980097e-11
12/1902,6.907768177491057e-11
01/1903,6.708862701876318e-11
02/1903,6.717601183564805e-11
03/1903,6.643328672531193e-11
04/1903,6.6722993445283e-11
05/1903,6.54354517093942e-11
06/1903,6.785692433531425e-11
07/1903,6.490348143350895e-11
08/1903,6.617992872294281e-11
09/1903,6.726218047923723e-11
10/1903,6.485241895055326e-11
11/1903,6.464046101807155e-11
12/1903,6.333357002384575e-11
01/1904,6.823354179890105e-11
02/1904,6.865234033896648e-11
03/1904,6.86736170005153e-11
04/1904,7.065433261051879e-11
05/1904,7.188786858997175e-11
06/1904,7.23633779474614e-11
07/1904,7.70356731704809e-11
08/1904,7.634104660720302e-11
09/1904,7.97072416692424e-11
10/1904,7.415425266972687e-11
11/1904,7.601669182408642e-11
12/1904,7.523807417176611e-11
01/1905,7.548936693204589e-11
02/1905,7.69704280940308e-11
03/1905,7.644173631948842e-11
04/1905,7.796743795816805e-11
05/1905,8.072046742566025e-11
06/1905,7.692749440356193e-11
07/1905,7.456327806057222e-11
08/1905,7.557417169119578e-11
09/1905,7.776721149260559e-11
10/1905,7.999669632859189e-11
11/1905,8.807287980698991e-11
12/1905,9.006711457117369e-11
01/1906,8.904315225022437e-11
02/1906,9.275907213309587e-11
03/1906,9.849865232954681e-11
04/1906,1.0120558941160777e-10
05/1906,9.863580045366647e-11
06/1906,1.0246723172409728e-10
07/1906,9.973818352806436e-11
08/1906,1.0464973742241899e-10
09/1906,9.918317505793968e-11
10/1906,9.589228111172141e-11
11/1906,1.0044512071264355e-10
12/1906,1.0046236794210694e-10
01/1907,9.382244329827452e-11
02/1907,9.341126659653187e-11
03/1907,9.06424177618059e-11
04/1907,9.915517806703034e-11
05/1907,1.0303507118114996e-10
06/1907,9.52750417928676e-11
07/1907,9.586796450695323e-11
08/1907,1.0228515374788827e-10
09/1907,9.482967820439442e-11
10/1907,8.800835806446858e-11
11/1907,8.427256582913869e-11
12/1907,8.124256777008614e-11
01/1908,8.36962538669943e-11
02/1908,9.067664261529359e-11
03/1908,9.170705219774448e-11
04/1908,9.186624894708897e-11
05/1908,9.047949903619151e-11
06/1908,9.325989531905776e-11
07/1908,9.932068577080853e-11
08/1908,9.550445136454545e-11
09/1908,9.835519849717957e-11
10/1908,1.0181343485960608e-10
11/1908,1.0069678085694781e-10
12/1908,1.0122219965241644e-10
01/1909,1.0491719162185934e-10
02/1909,1.1243958710130903e-10
03/1909,1.1847860782736814e-10
04/1909,1.2545414452101693e-10
05/1909,1.29687589920553e-10
06/1909,1.259012373040069e-10
07/1909,1.316872332659737e-10
08/1909,1.280577537804553e-10
09/1909,1.2746974811302752e-10
10/1909,1.290417194517694e-10
11/1909,1.1850276877858217e-10
12/1909,1.2278393946278997e-10
01/1910,1.249320935520996e-10
02/1910,1.3143413484311263e-10
03/1910,1.3595351453442775e-10
04/1910,1.4131786835217255e-10
05/1910,1.4340756181087498e-10
06/1910,1.3666748382182175e-10
07/1910,1.4032674186352056e-10
08/1910,1.3395663090099793e-10
09/1910,1.3089619794334e-10
10/1910,1.3008032511796444e-10
11/1910,1.172658451712631e-10
12/1910,1.1927410646564894e-10
01/1911,1.2360112623189684e-10
02/1911,1.154417761046657e-10
03/1911,1.1465690657793047e-10
04/1911,1.2438355359061455e-10
05/1911,1.3047288328400753e-10
06/1911,1.283112542369193e-10
07/1911,1.2450668281474788e-10
08/1911,1.1504044767977565e-10
09/1911,1.0681721346031318e-10
10/1911,1.1162001079901398e-10
11/1911,1.2196796044504721e-10
12/1911,1.258127254708371e-10
01/1912,1.3007638690185457e-10
02/1912,1.2879220225444796e-10
03/1912,1.1834678725054641e-10
04/1912,1.134305750166841e-10
05/1912,1.2038840945560133e-10
06/1912,1.2138344519736314e-10
07/1912,1.2576731832668341e-10
08/1912,1.265787061705136e-10
09/1912,1.2959860493450812e-10
10/1912,1.342034322059898e-10
11/1912,1.3431282271512552e-10
12/1912,1.3314930055013623e-10
01/1913,1.3658942265514654e-10
02/1913,1.3710742405699845e-10
03/1913,1.3697153559101453e-10
04/1913,1.3590014265004393e-10
05/1913,1.3296934932518854e-10
06/1913,1.3481336005655043e-10
07/1913,1.3034777264792217e-10
08/1913,1.2883715172340706e-10
09/1913,1.268369610565311e-10
10/1913,1.2532489259556784e-10
11/1913,1.2510469211790189e-10
12/1913,1.2550041932743745e-10
01/1914,1.3199350181642794e-10
02/1914,1.3410690062187137e-10
03/1914,1.4235709456059623e-10
04/1914,1.489284152695127e-10
05/1914,1.4751592307341078e-10
06/1914,1.5026199781858974e-10
07/1914,1.5567526161548545e-10
08/1914,1.6636649595128197e-10
09/1914,1.5940841863919154e-10
10/1914,1.3154189874541328e-10
11/1914,1.2072936232288492e-10
12/1914,1.2227632508854077e-10
01/1915,1.2134027557518436e-10
02/1915,1.324545582322794e-10
03/1915,1.3986561339524186e-10
04/1915,1.4638338553028176e-10
05/1915,1.5518917364627434e-10
06/1915,1.6391261841447917e-10
07/1915,1.6921106162400498e-10
08/1915,1.7361882199064536e-10
09/1915,1.561916633322673e-10
10/1915,1.5917833742941857e-10
11/1915,1.7238897268278552e-10
12/1915,1.743001626961463e-10
01/1916,1.9053728875075296e-10
02/1916,2.0026264566530595e-10
03/1916,2.1002970442526915e-10
04/1916,1.9716657344420735e-10
05/1916,2.1110438939440612e-10
06/1916,2.1351091715812305e-10
07/1916,2.0962942660605633e-10
08/1916,2.0639912873803644e-10
09/1916,2.13696087648694e-10
10/1916,2.1374751524836845e-10
11/1916,2.2383233392948139e-10
12/1916,2.3137163474040952e-10
01/1917,2.2367144877465658e-10
02/1917,2.202415050778147e-10
03/1917,2.278956273078968e-10
04/1917,2.4197460162633284e-10
05/1917,2.554675920010645e-10
06/1917,2.582967832895458e-10
07/1917,2.763019130046315e-10
08/1917,2.7773124560417323e-10
09/1917,2.802654144205769e-10
10/1917,2.595569511301855e-10
11/1917,2.623053352534381e-10
12/1917,2.7037819050654897e-10
01/1918,2.614667599720977e-10
02/1918,2.580581164424592e-10
03/1918,2.5782107605231646e-10
04/1918,2.6213446328485567e-10
05/1918,2.978356814119094e-10
06/1918,3.1110803401639985e-10
07/1918,3.181632149060178e-10
08/1918,2.8808549656992167e-10
09/1918,2.6972550927771805e-10
10/1918,2.991226789659357e-10
11/1918,3.013448116345417e-10
12/1918,3.2527584656507497e-10
01/1919,3.3802514816944923e-10
02/1919,3.3477708104663967e-10
03/1919,3.5222133301628565e-10
04/1919,3.654584994121543e-10
05/1919,3.514107881664722e-10
06/1919,3.6668350712641895e-10
07/1919,3.4768909855052447e-10
08/1919,3.4569124812755685e-10
09/1919,3.342117038227101e-10
10/1919,3.5324789981923446e-10
11/1919,3.702624519851781e-10
12/1919,3.961396631471207e-10
01/1920,3.900131137170092e-10
02/1920,4.192194634691752e-10
03/1920,4.3832499896822317e-10
04/1920,4.1418838552693073e-10
05/1920,4.044862291232857e-10
06/1920,4.112248001047539e-10
07/1920,4.5520969454238524e-10
08/1920,4.901215967611714e-10
09/1920,5.273691399861414e-10
10/1920,5.415801041439207e-10
11/1920,5.771508157148925e-10
12/1920,6.314085859014585e-10
01/1921,6.820019778564577e-10
02/1921,6.956891036020273e-10
03/1921,7.174931106814658e-10
04/1921,7.407708279249173e-10
05/1921,7.723368812901323e-10
06/1921,8.250184034407812e-10
07/1921,8.612213161132714e-10
08/1921,8.7356931830423e-10
09/1921,8.785529014832216e-10
10/1921,8.71943184662311e-10
11/1921,9.492106029011628e-10
