Date,JST-KZ Developed Markets
12/1921,1.0092679080594109e-9
01/1922,1.2931256321327765e-9
02/1922,1.713076175533601e-9
03/1922,2.231314282434492e-9
04/1922,2.9205805326504173e-9
05/1922,3.732037183493957e-9
06/1922,4.4785859222431814e-9
07/1922,5.790525194419061e-9
08/1922,6.960549588811836e-9
09/1922,8.56462100317465e-9
10/1922,1.0717525687301972e-8
11/1922,1.21662366333546e-8
12/1922,1.5582340668113042e-8
01/1923,9.135863512051718e-8
02/1923,5.357619113866728e-7
03/1923,0.000003287047797434257
04/1923,0.000018223729779683835
05/1923,0.00010380650694219814
06/1923,0.0005436722606548307
07/1923,0.0030078529351347
08/1923,0.01776420794407927
09/1923,0.09342395657551027
10/1923,0.5941838578368105
11/1923,3.6869009127822463
12/1923,19.677047308148715
01/1924,22.92756024956487
02/1924,29.38698893936549
03/1924,36.436315158874486
04/1924,44.77654679317774
05/1924,55.73853442470275
06/1924,69.12606370213811
07/1924,83.79025344423796
08/1924,100.94780348129781
09/1924,106.63339409326794
10/1924,127.60117155877288
11/1924,162.26150270808716
12/1924,192.63673959844655
01/1925,197.1424079566994
02/1925,207.09947016079525
03/1925,204.76431640053124
04/1925,209.28624319382757
05/1925,217.10976049301308
06/1925,218.09209851109344
07/1925,222.56941003077452
08/1925,209.37298057651836
09/1925,209.9241261116412
10/1925,229.0947308282455
11/1925,239.1581947179799
12/1925,254.19384557651773
01/1926,244.76560031783404
02/1926,240.54256694868545
03/1926,239.29485265750242
04/1926,242.25881265233255
05/1926,274.0770746382659
06/1926,285.06751676806925
07/1926,290.2866038955484
08/1926,261.72122525769794
09/1926,243.99453210174732
10/1926,269.43123134039564
11/1926,270.27310724940963
12/1926,290.4901788759655
01/1927,320.3369688759732
02/1927,342.08134914992456
03/1927,342.4571388037904
04/1927,364.2915972558176
05/1927,367.88765515238117
06/1927,369.88549701747144
07/1927,368.1375298357109
08/1927,376.1537559051564
09/1927,365.68259557776116
10/1927,384.22583207533296
11/1927,394.81612228062795
12/1927,398.9163509472885
01/1928,425.7853276693979
02/1928,429.19431612999523
03/1928,437.4115023127608
04/1928,446.2621342430448
05/1928,459.77636683273045
06/1928,485.33008043677086
07/1928,500.6359663739108
08/1928,501.80889062898166
09/1928,498.70371075814154
10/1928,489.0987725489927
11/1928,526.1440570415195
12/1928,552.8181022194906
01/1929,535.2754526839697
02/1929,475.9565889017254
03/1929,475.2607840627747
04/1929,517.8505601842307
05/1929,519.7191507160121
06/1929,504.3323246427217
07/1929,534.4680182091481
08/1929,538.7673894569875
09/1929,533.6415764557511
10/1929,506.8054185236419
11/1929,507.8777232965015
12/1929,526.8916094444293
01/1930,516.799542790243
02/1930,503.41317530478716
03/1930,484.74142008957267
04/1930,455.58521284100954
05/1930,467.86097231892944
06/1930,462.11617057508073
07/1930,459.218541682396
08/1930,440.4712380846326
09/1930,439.5783279382802
10/1930,412.52299751360636
11/1930,418.16586412602334
12/1930,409.47336270607
01/1931,388.4936029858669
02/1931,377.89161931956494
03/1931,367.8154161667362
04/1931,373.9850596529304
05/1931,348.6122329302118
06/1931,346.6910855562063
07/1931,322.88164538469886
08/1931,313.5407789937501
09/1931,299.4617415862562
10/1931,272.3070974818272
11/1931,268.32210156149387
12/1931,260.681988439003
01/1932,261.8503259762693
02/1932,265.9719113299819
03/1932,267.59780937085486
04/1932,252.99029382183113
05/1932,254.09006159086698
06/1932,255.83928222055627
07/1932,250.55352177818185
08/1932,244.4963799509717
09/1932,240.0012249210312
10/1932,235.59939791235882
11/1932,247.13229847011036
12/1932,238.20015376689028
01/1933,229.5306288896825
02/1933,234.89560777144837
03/1933,246.6083972776967
04/1933,257.12487854264634
05/1933,271.7496351633059
06/1933,277.5291066449062
07/1933,297.0665137939873
08/1933,305.12417414246676
09/1933,314.5223931973415
10/1933,323.3076368419609
11/1933,347.0069915771714
12/1933,368.5254482236298
01/1934,380.0242856135948
02/1934,391.9769635240654
03/1934,422.98180739932803
04/1934,412.4581569449738
05/1934,413.2322115315638
06/1934,380.6569165842864
07/1934,370.4077877399397
08/1934,384.7656731310128
09/1934,355.9063098296278
10/1934,398.13030916580135
11/1934,434.5030389005478
12/1934,407.86669380218893
01/1935,428.3534055124094
02/1935,430.8274983700231
03/1935,402.1428999183684
04/1935,391.52919663852504
05/1935,422.11305413831457
06/1935,432.32828813507393
07/1935,455.0216711496744
08/1935,465.19497994068547
09/1935,483.8210735524519
10/1935,508.9301311788037
11/1935,517.3948533209104
12/1935,521.0190519633326
01/1936,556.1081940218908
02/1936,599.3134480729766
03/1936,623.8205607892834
04/1936,619.9594099167365
05/1936,643.7431783447933
06/1936,623.9842505114204
07/1936,655.943981333021
08/1936,606.2953942757645
09/1936,591.6853525772447
10/1936,657.2715100326124
11/1936,689.3828277789635
12/1936,666.1291979256424
01/1937,669.9404300038124
02/1937,638.9068014740785
03/1937,630.9735155244091
04/1937,630.5120007133269
05/1937,640.8745995612989
06/1937,619.3465076159997
07/1937,583.3894522620058
08/1937,570.0216497139274
09/1937,564.2877733560994
10/1937,558.0688958545794
11/1937,512.1810814071466
12/1937,495.6344131228575
01/1938,507.90501560475144
02/1938,528.4863751944418
03/1938,516.5719405471415
04/1938,528.7131633147885
05/1938,551.6573118629512
06/1938,577.3410075084431
07/1938,611.9029277423052
08/1938,578.8926842036684
09/1938,585.8761720257575
10/1938,537.2047822340952
11/1938,527.8354251220393
12/1938,540.871650227919
01/1939,558.1384911952864
02/1939,563.5798430283015
03/1939,566.3623570554705
04/1939,565.2668850653602
05/1939,556.3585294670704
06/1939,567.4214061071937
07/1939,551.881673505809
08/1939,548.7228540614341
09/1939,543.4096385178093
10/1939,540.1177202681602
11/1939,542.3682508063166
12/1939,547.3125577400289
01/1940,525.175292702842
02/1940,554.3352447389623
03/1940,566.0083160203106
04/1940,572.8091137242573
05/1940,587.199702475288
06/1940,599.7124549970014
07/1940,598.6399624866876
08/1940,593.9365257543701
09/1940,516.6629902543434
10/1940,509.1429585653471
11/1940,533.1771555282869
12/1940,521.2740657078012
01/1941,530.84049868319
02/1941,530.8350031568008
03/1941,532.9914062839541
04/1941,543.7174281117187
05/1941,544.3234756355722
06/1941,536.4617957175999
07/1941,503.65311834012596
08/1941,498.8953120936875
09/1941,516.7843402625673
10/1941,515.8851181269405
11/1941,531.4966300538864
12/1941,528.2899656553525
01/1942,518.6965424089666
02/1942,525.0594837766841
03/1942,524.9402471628528
04/1942,533.0028065471677
05/1942,528.4415040561441
06/1942,553.9975292465921
07/1942,535.687474058341
08/1942,552.2041103562411
09/1942,567.380131330417
10/1942,553.0433857651096
11/1942,557.2721119133439
12/1942,551.9842366103592
01/1943,550.6609827884258
02/1943,558.2541260591167
03/1943,551.2493624206286
04/1943,559.0367232470292
05/1943,575.4667822347272
06/1943,545.290204841623
07/1943,525.5095579421416
08/1943,529.588492635006
09/1943,541.8401563978456
10/1943,554.1868681943059
11/1943,606.6467749674964
12/1943,616.835646193829
01/1944,662.7081499939072
02/1944,664.9188522380236
03/1944,663.272703705487
04/1944,680.502780598929
05/1944,690.4553767974203
06/1944,693.0869843703309
07/1944,735.7829103118985
08/1944,727.117884896867
09/1944,757.0654043726128
10/1944,702.3613190075199
11/1944,717.9966069061364
12/1944,708.663393978099
01/1945,671.2301820609118
02/1945,675.2095767916436
03/1945,696.7940371076498
04/1945,714.1238403527788
05/1945,741.8759107487967
06/1945,744.7383271895467
07/1945,783.5770983027451
08/1945,791.1111747786506
09/1945,801.577173356671
10/1945,809.9208893216339
11/1945,854.4717910323768
12/1945,891.9897322196986
01/1946,926.3652502837155
02/1946,928.3252994733346
03/1946,923.9084586883824
04/1946,926.2759902247445
05/1946,848.8903217667525
06/1946,857.1528849563784
07/1946,849.871802391464
08/1946,813.2066407357531
09/1946,813.7493842547149
10/1946,787.5573785881048
11/1946,794.8442611158956
12/1946,773.6943927185197
01/1947,846.6206942544707
02/1947,850.0030198225004
03/1947,819.205478382775
04/1947,796.8482835412839
05/1947,763.9964458445293
06/1947,778.2684924293579
07/1947,758.813284196168
08/1947,720.9355392263108
09/1947,681.0846641499138
10/1947,745.479063084039
11/1947,728.6038211639225
12/1947,716.8119659280886
01/1948,764.3107702925855
02/1948,787.2740074076381
03/1948,847.2493847352333
04/1948,898.6013643464883
05/1948,902.3723211343012
06/1948,931.8658189929887
07/1948,978.771210299547
08/1948,1060.4368492797817
09/1948,1030.1193702143246
10/1948,861.7826880274099
11/1948,801.8699244207439
12/1948,823.3618775596741
01/1949,816.9390641537326
02/1949,854.1028385111413
03/1949,910.2248543536803
04/1949,938.6150904578907
05/1949,918.0836204743588
06/1949,957.1881235462685
07/1949,935.057643347252
08/1949,984.6450575684252
09/1949,936.5785374363963
10/1949,908.7710350596702
11/1949,955.3539504415086
12/1949,958.9666442255369
01/1950,1031.848172928298
02/1950,1036.8634942637536
03/1950,1035.8682265798996
04/1950,1064.3923416997093
05/1950,1081.6005580877213
06/1950,1087.3728362341851
07/1950,1156.1119296472593
08/1950,1144.2329846052805
09/1950,1193.1704420578315
10/1950,1108.6363674670745
11/1950,1135.037935363546
12/1950,1121.985991250122
01/1951,1125.4032655084845
02/1951,1157.3216537732403
03/1951,1190.9108877921765
04/1951,1280.1654748791157
05/1951,1261.5864029378934
06/1951,1326.4154484726002
07/1951,1305.9987876001155
08/1951,1340.7752008721707
09/1951,1353.8351982574836
10/1951,1301.5052840703158
11/1951,1355.8321907724173
12/1951,1392.5892511929003
01/1952,1433.0019310713537
02/1952,1422.298685503574
03/1952,1400.2174283657378
04/1952,1466.6820158253206
05/1952,1547.015574243935
06/1952,1575.3446929022948
07/1952,1638.3249074230089
08/1952,1696.1369116815947
09/1952,1742.77192799199
10/1952,1676.7646688651862
11/1952,1715.4215798972866
12/1952,1596.3313410319363
01/1953,1633.8182653270878
02/1953,1608.4735517612105
03/1953,1473.720599518105
04/1953,1549.2031829575203
05/1953,1516.1215316117457
06/1953,1526.2829105309888
07/1953,1514.7414997843664
08/1953,1535.5244168498116
09/1953,1538.3583561241148
10/1953,1582.3472543763098
11/1953,1663.5554769645105
12/1953,1636.488558751785
01/1954,1634.9171246595133
02/1954,1708.0346388614614
03/1954,1742.3592030954335
04/1954,1781.7342109677718
05/1954,1880.2614740899805
06/1954,1938.7427389356917
07/1954,1980.2633787925483
08/1954,2087.659706897242
09/1954,2164.36521019737
10/1954,2225.3498448488017
11/1954,2315.613790874355
12/1954,2381.7530928017054
01/1955,2489.326232959944
02/1955,2502.628375002778
03/1955,2341.542072648758
04/1955,2513.619653598782
05/1955,2512.0574631363843
06/1955,2582.4681080837013
07/1955,2617.235610728412
08/1955,2709.351764925117
09/1955,2771.855295586801
10/1955,2911.5161836079574
11/1955,3125.7847674998175
12/1955,3140.068531828318
01/1956,3071.4032629465546
02/1956,3138.9117499461154
03/1956,3450.7101770875
04/1956,3514.021443942319
05/1956,3382.3006430951505
06/1956,3441.7978015783483
07/1956,3496.949745610396
08/1956,3789.3538665385036
09/1956,3686.450685980314
10/1956,3816.8597833477215
11/1956,3513.820546705728
12/1956,3369.696096227441
01/1957,3253.521159749786
02/1957,3315.492746059626
03/1957,3460.9011552165284
04/1957,3421.28681469127
05/1957,3267.9206199740856
06/1957,3090.4023423862086
07/1957,3072.5228091453064
08/1957,2967.2326843252795
09/1957,2942.676450463262
10/1957,2935.346126011556
11/1957,2989.4820855806424
12/1957,3048.1488785523848
01/1958,3175.6100454412986
02/1958,3248.745815028567
03/1958,3337.1017549945823
04/1958,3482.69593199189
05/1958,3566.9123025864174
06/1958,3596.3936962221223
07/1958,3454.244048569779
08/1958,3500.450784146642
09/1958,3709.513534171924
10/1958,3788.381234948162
11/1958,3992.9535140048474
12/1958,4060.3097196322533
01/1959,4193.250880005132
02/1959,4397.165136730491
03/1959,4331.521039781408
04/1959,4467.86842035664
05/1959,4698.078463038792
06/1959,4955.117165715537
07/1959,5292.668444813455
08/1959,5046.158112174438
09/1959,5146.823363957751
10/1959,4756.02286629916
11/1959,4709.482997620298
12/1959,4863.395102959341
01/1960,4968.799549114372
02/1960,5060.36059089392
03/1960,5110.682555749083
04/1960,5059.303592313309
05/1960,4878.882023445928
06/1960,5004.208127869573
07/1960,5146.340529350628
08/1960,5092.035646932213
09/1960,5055.2522066438005
10/1960,4950.1338393265805
11/1960,4969.4294766096245
12/1960,4936.58726315965
01/1961,4888.062845429324
02/1961,5056.980666905475
03/1961,5627.725684190358
04/1961,5801.510609467342
05/1961,5652.767712393127
06/1961,5822.996540207527
07/1961,5989.117289289554
08/1961,6569.78017874076
09/1961,6470.030852831068
10/1961,6781.353388331187
11/1961,6319.780532859927
12/1961,6135.15305304963
01/1962,6285.583073402884
02/1962,6088.281758130381
03/1962,5837.954193053883
04/1962,5718.878524168204
05/1962,5738.598101272041
06/1962,5460.232151156126
07/1962,5178.9190665062315
08/1962,5275.244872892023
09/1962,5547.243247474851
10/1962,5706.792754255726
11/1962,5432.998685766268
12/1962,5675.8660129011305
01/1963,5880.22926565769
02/1963,6298.803822570794
03/1963,6633.9168043133395
04/1963,7021.118932870443
05/1963,7254.558281077214
06/1963,7039.369965053319
07/1963,7359.3372262055245
08/1963,7153.0646222122305
09/1963,7116.797924040579
10/1963,7201.100736349039
11/1963,6609.802465205479
12/1963,6845.30470442185
01/1964,7173.052164252606
02/1964,7615.083262010399
03/1964,7938.497885467629
04/1964,7934.39607508009
05/1964,7689.062442422238
06/1964,7901.433070203999
07/1964,7880.215074650286
08/1964,6777.951921853835
09/1964,6553.270789476343
10/1964,6857.978360255648
11/1964,7450.345191967096
12/1964,7737.794617113386
01/1965,7280.293539335247
02/1965,7181.84192557583
03/1965,7090.2202406672895
04/1965,7561.642380659036
05/1965,7531.732942035746
06/1965,7933.037973893926
07/1965,8178.446825147932
08/1965,8660.801571700653
09/1965,8178.0952477014425
10/1965,8692.700291667987
11/1965,8558.037864209085
12/1965,8644.046273397431
01/1966,8743.243782266962
02/1966,8684.117006697965
03/1966,8660.518531611951
04/1966,8775.149360202728
05/1966,8725.61211305461
06/1966,8541.520974988158
07/1966,7964.995130113454
08/1966,7836.479199467298
09/1966,8062.662520284517
10/1966,7994.2865523569835
11/1966,8180.593286084719
12/1966,8076.3330996793065
01/1967,9015.707917725274
02/1967,9234.164403758881
03/1967,9078.961238759972
04/1967,9009.177337660252
05/1967,8811.848314398128
06/1967,9157.381415586786
07/1967,9108.418153639026
08/1967,8828.169239791541
09/1967,8508.274576091837
10/1967,9500.402960958878
11/1967,9472.49098058204
12/1967,9507.015075755933
01/1968,9712.603492562925
02/1968,9917.550150336734
03/1968,9991.842939963279
04/1968,10106.272344197436
05/1968,10288.15366771623
06/1968,9987.537288522188
07/1968,10089.83149500508
08/1968,10430.247428488023
09/1968,10264.01889048859
10/1968,10364.211075280547
11/1968,10866.850808614512
12/1968,11018.466595778953
01/1969,11152.760627233349
02/1969,11252.827644632878
03/1969,11259.222619097716
04/1969,11042.554180504554
05/1969,10549.90168667758
06/1969,10720.443637747618
07/1969,10922.579430237272
08/1969,10706.990691659923
09/1969,10530.963686516918
10/1969,10216.250356232564
11/1969,10160.858780139608
12/1969,10000
01/1970,9445.5
02/1970,9740.499999999998
03/1970,9770.8
04/1970,8857.800000000001
05/1970,8298.999999999998
06/1970,8094.5999999999985
07/1970,8596.499999999998
08/1970,8879.9
09/1970,9166.700000000003
10/1970,9031.4
11/1970,9233.7
12/1970,9691.5
01/1971,10073.198169398906
02/1971,10163.472934426229
03/1971,10609.448166666665
04/1971,10965.358325136613
05/1971,10467.678934426227
06/1971,10450.800516393443
07/1971,10192.672349726778
08/1971,10220.354133879782
09/1971,9947.754704918034
10/1971,9483.39607103825
11/1971,9582.816002732237
12/1971,10245.097967213116
01/1972,10496.007557377048
02/1972,10747.548726775956
03/1972,10858.43306557377
04/1972,11013.59492896175
05/1972,11243.255672131145
06/1972,10945.348655737705
07/1972,11088.470415300544
08/1972,11494.732841530054
09/1972,11343.269642076504
10/1972,11486.126754098357
11/1972,12076.959289617485
12/1972,12279.808644808742
01/1973,12298.034459016391
02/1973,11644.177445355192
03/1973,10914.370502732243
04/1973,10451.360262295084
05/1973,10251.600983606557
06/1973,9535.005081967212
07/1973,8840.419672131145
08/1973,8802.384180327868
09/1973,9048.130229508197
10/1973,9099.083928961747
11/1973,8467.771046448086
12/1973,8647.400606557378
01/1974,9229.759150273225
02/1974,9038.727967213114
03/1974,8496.988961748633
04/1974,8061.822027322404
05/1974,7539.35619672131
06/1974,7491.309349726776
07/1974,7124.404459016393
08/1974,6602.30275409836
09/1974,6083.947540983607
10/1974,6495.389049180328
11/1974,6192.222049180328
12/1974,5942.178344262295
01/1975,6571.385106557377
02/1975,7037.442877049181
03/1975,7065.246836065574
04/1975,7537.12813114754
05/1975,7633.216639344262
06/1975,7696.5360109289595
07/1975,7681.989786885246
08/1975,7871.629836065573
09/1975,7674.307210382514
10/1975,8086.434598360655
11/1975,8332.993180327869
12/1975,8443.521516393443
01/1976,9130.65081967213
02/1976,8921.711754098362
03/1976,9020.222950819672
04/1976,8877.521803278687
05/1976,8811.816043715848
06/1976,9138.293852459017
07/1976,9042.263005464483
08/1976,8863.330622950822
09/1976,8798.177688524587
10/1976,8284.386754098361
11/1976,8196.156666666666
12/1976,8703.328625683062
01/1977,8446.46606557377
02/1977,8451.209426229509
03/1977,8351.584819672133
04/1977,8381.797972677594
05/1977,8213.97319125683
06/1977,8511.632360655736
07/1977,8135.142950819672
08/1977,8288.997344262296
09/1977,8418.314704918032
10/1977,8110.710579234973
11/1977,8078.220060109289
12/1977,7909.0389344262285
01/1978,7558.5980327868865
02/1978,7357.782852459017
03/1978,7526.635655737705
04/1978,7900.449213114755
05/1978,8245.840262295082
06/1978,8242.049180327871
07/1978,8715.9995
08/1978,8661.141775956283
09/1978,8640.462994535521
10/1978,7910.742928961748
11/1978,7903.306644808743
12/1978,8053.607622950819
01/1979,8374.890920906435
02/1979,8254.02085713558
03/1979,8597.408372856242
04/1979,8680.583861842639
05/1979,8624.512520948967
06/1979,8770.254481359167
07/1979,8519.581714406237
08/1979,8888.384069147352
09/1979,8989.74133405289
10/1979,8356.556236998304
11/1979,8578.48054719024
12/1979,8610.029830033005
01/1980,9038.277249530114
02/1980,9126.329252370291
03/1980,8576.254480292011
04/1980,9246.793992508892
05/1980,9281.47744341322
06/1980,9583.373973052774
07/1980,9754.886372002678
08/1980,10142.399523561871
09/1980,10421.777541480375
10/1980,10994.775804387571
11/1980,11855.562521343181
12/1980,11961.844335825948
01/1981,11648.06777429447
02/1981,12476.965203762595
03/1981,12928.440860125513
04/1981,13277.61676844419
05/1981,13812.837615265096
06/1981,14316.17560939497
07/1981,14502.287906427568
08/1981,14601.50834804114
09/1981,12889.970076914109
10/1981,12890.541667817084
11/1981,13699.030345969539
12/1981,13591.621821251712
01/1982,13595.40406799338
02/1982,13196.535469761193
03/1982,13069.349935119797
04/1982,13921.242962998596
05/1982,13105.779309431184
06/1982,13238.749215457392
07/1982,13347.359658298803
08/1982,14401.689684100222
09/1982,14602.44444243838
10/1982,15788.854432741777
11/1982,16901.68057760279
12/1982,16931.70069361683
