year,annual_return_german_currency_neutral,annual_return_real_usd,annual_return_usd,german_inflation_factor,us_inflation_factor,ppp_fx_factor,annual_return_german_raw_fx_diagnostic,reference_fx_start,reference_fx_end,reference_fx_interpolated,currency_conversion_method,eligible_countries,universe_countries,known_cap_coverage
1945,0.2586931112844606,0.22397054274920647,0.2517880550844156,1.0283687942826323,1.0227272727272727,1.005516154409685,2.3189690336431585,2.4893917963224896,6.600330024752065,true,usd_real_return_reinflated_with_german_cpi,14,17,0.9394484832003249
1946,-0.13261962019092222,-0.20398635981909896,-0.13765188980402399,1.0896551717530343,1.0833333333333333,1.005835543156647,1.2864147507527797,6.600330024752065,17.5,true,usd_real_return_reinflated_with_german_cpi,13,17,0.9913941157425182
1947,-0.07352053643631029,-0.13382393356299005,-0.009449934279726957,1.0696202532756833,1.1435897435897437,0.935318158693983,0.33016723111008073,17.5,23.5,false,usd_real_return_reinflated_with_german_cpi,13,17,1
1948,0.14864415871410652,-0.0045083961388144855,0.07186785348946367,1.1538461542607616,1.0767221434435406,1.071628517428429,-0.06496634057302098,23.5,20.5,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1949,0.16469643587067173,0.0881433366439448,0.07747082800492633,1.0703520360312386,0.9901920011090316,1.0809540319780673,-0.6820147068570828,20.5,6.05,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1950,0.16999480430963243,0.24759652829246015,0.2608711544728848,0.9377990221814433,1.0106401596023942,0.927925744164364,-0.1246844880123561,6.05,4.199999999,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1951,0.24118238734983732,0.15294667173948606,0.24450361436454693,1.0765306130570873,1.0794112554112552,0.9973312837533176,0.24450361436454693,4.199999999,4.199999999,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1952,0.14630451130116695,0.12236775711860459,0.14800706163183786,1.021327015170156,1.0228439425051337,0.9985169513432689,0.14800706163183786,4.199999999,4.199999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1953,0.02515594143123767,0.0445442229622901,0.052473322772731645,0.9814385249519948,1.0075909661229612,0.9740445855012014,0.052473322772731645,4.199999999,4.199999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1954,0.45540467121772243,0.4519720973287973,0.4572155056872478,1.0023640770337392,1.003611232177324,0.9987573324175745,0.4571461144726745,4.199999999,4.199799999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1955,0.31838541170302004,0.29697314670374797,0.2936339578217948,1.0165094127458931,0.997425398597928,1.019133274703844,0.2983775082182898,4.199799999,4.215199999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1956,0.07312820152540445,0.046421370124515526,0.061846769889373876,1.0255220623004966,1.0147410978074949,1.0106243499118106,0.057665080673121816,4.215199999,4.198599999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1957,-0.09542320983635477,-0.11412935316507189,-0.08407453058251435,1.0211161114724268,1.033926874865917,0.9876096040204473,-0.08339826493304303,4.198599999,4.201699999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1958,0.33205754751735084,0.30483335072554985,0.34045557968032325,1.0208641178405373,1.027300213421864,0.9937349418434476,0.3327351272358403,4.201699999,4.177499999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1959,0.19778919313569632,0.18620391342730858,0.1972592230050858,1.0097666847809617,1.009319906512393,1.0004426527859858,0.19510974504585477,4.177499999,4.169999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1960,0.015049601903774912,0.00018035943322747272,0.015105863939349096,1.014866561146005,1.0149228130360204,0.999944575203855,0.015349294602222896,4.169999999,4.170999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1961,0.24279238388725255,0.21512712303218673,0.22813338484144352,1.0227673799149761,1.0107036223311363,1.0119359991567216,0.17675259469370608,4.170999999,3.996499999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1962,-0.07486154561705693,-0.10077536285396282,-0.09019978744357271,1.0288179573450649,1.0117607714174235,1.0168589121159,-0.08985831357414287,3.996499999,3.997999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1963,0.20603705035718,0.17107377872787732,0.18578316731040023,1.0298557377548687,1.012560599382988,1.0170805958501838,0.1790208220824263,3.997999999,3.975199999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1964,0.13037986637979992,0.10447682594808527,0.11907899508330733,1.0234527695132756,1.013220892274211,1.0100983678061541,0.11958572234021436,3.975199999,3.976999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1965,0.11712014871520648,0.08216169927332961,0.099245710420103,1.0323042752902376,1.0157869301401494,1.0162606395691756,0.10715077135194129,3.976999999,4.005599999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1966,-0.06567678558886136,-0.09834057573717125,-0.07138659760001265,1.0362263059303294,1.0298937463657027,1.0061487503802922,-0.07794735236695904,4.005599999,3.977299999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1967,0.17714499370183656,0.15853128109481918,0.1907911666328117,1.0160666465470205,1.0278455023739252,0.9885402467591674,0.19728807868933984,3.977299999,3.998999999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1968,0.15898276251579868,0.14044839329538306,0.1888569393278965,1.0162518263249594,1.0424469413233461,0.9748715124386733,0.18900558360641928,3.998999999,3.999499999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1969,-0.09243269804612508,-0.1091182814410715,-0.06067992213259821,1.0187292914955497,1.0543712574850297,0.966195999998619,-0.13339238523560115,3.999499999,3.689899999,false,usd_real_return_reinflated_with_german_cpi,16,17,1
