target_year,donor_year,target_annual_return,donor_annual_return,log_shift,compounded_synthetic_return,seed
1900,2008,0.11491535044799006,-0.37287490524814726,0.04794897735315351,0.11491535044799006,jst-kz-msci-world-eur-v1
1901,1998,0.08237155939157703,0.17600759853171932,-0.006914232397457992,0.08237155939157703,jst-kz-msci-world-eur-v1
1902,2005,0.05273932025195305,0.26413772128195356,-0.015249550259221046,0.05273932025195305,jst-kz-msci-world-eur-v1
1903,1977,-0.08315437929405334,-0.09126274847452354,0.0007402587800608117,-0.08315437929405334,jst-kz-msci-world-eur-v1
1904,1989,0.18796515250029633,0.18347075144314218,0.00031587096175195406,0.18796515250029633,jst-kz-msci-world-eur-v1
1905,1992,0.19709489593730578,-0.003696138323176612,0.015300057291445889,0.19709489593730578,jst-kz-msci-world-eur-v1
1906,1986,0.11541674694950532,0.18628653108119764,-0.005133313894988208,0.11541674694950532,jst-kz-msci-world-eur-v1
1907,2008,-0.1913134297520891,-0.37287490524814726,0.021188781623067574,-0.1913134297520891,jst-kz-msci-world-eur-v1
1908,1988,0.2459256573336286,0.3171839306890252,-0.004634776526945622,0.2459256573336286,jst-kz-msci-world-eur-v1
1909,1991,0.21301394243964,0.2455954567201044,-0.002208797499394575,0.21301394243964,jst-kz-msci-world-eur-v1
1910,1991,-0.028585440510358273,0.2455954567201044,-0.020717971258339487,-0.028585440510358273,jst-kz-msci-world-eur-v1
1911,2001,0.05482010470622356,-0.12180479715625492,0.01527138490657267,0.05482010470622356,jst-kz-msci-world-eur-v1
1912,2025,0.058313457973690586,0.07067775578569035,-0.0009679417449580448,0.058313457973690586,jst-kz-msci-world-eur-v1
1913,2004,-0.057445898634808534,0.06374332418725581,-0.010079673706626123,-0.057445898634808534,jst-kz-msci-world-eur-v1
1914,1987,-0.02568990809891092,-0.041331602208083185,0.001348698878945936,-0.02568990809891092,jst-kz-msci-world-eur-v1
1915,1981,0.42546124582935385,0.13624800989464014,0.018896985632560932,0.42546124582935385,jst-kz-msci-world-eur-v1
1916,1985,0.327432121470562,0.1580369242053148,0.011376672949526155,0.327432121470562,jst-kz-msci-world-eur-v1
1917,1978,0.16858832246184097,0.018278919818603967,0.011473549141235205,0.16858832246184097,jst-kz-msci-world-eur-v1
