year,iso,included,exclusion_reason,cap_year,market_cap_usd,start_weight,return_source,local_return,usd_return,reference_currency_return,usd_return_contribution
1900,AUS,true,,1899,252910329.70058775,0.011310892538153343,JST_R6_EQ_TR,0.12200000137090683,0.12203540070017027,0.1233455962208505,0.001380329303170109
1900,BEL,true,,1899,693542038.1850091,0.031017236322017454,JST_R6_EQ_TR,-0.09390377998352051,-0.08562136480969529,-0.08455364912863517,-0.002655738106515988
1900,CAN,true,,1899,342531992.16705513,0.015319036430294681,KZ_R1_EQ_TR_FALLBACK,0.0385260283946991,0.03145566011130585,0.03266008609003612,0.00048187040318406157
1900,CHE,false,missing_start_market_cap,1899,,,JST_R6_EQ_TR,0.06717817485332489,,,
1900,DEU,true,,1899,2039892269.6426516,0.09122997181907565,JST_R6_EQ_TR,-0.06725689768791199,-0.06834478714838277,-0.0672568976879121,-0.006235093005527683
1900,DNK,true,,1899,100172570.35034451,0.004480011472227025,JST_R6_EQ_TR,0.04688404127955437,0.04573614211148458,0.04695724334265172,0.00020489844135485646
1900,ESP,false,missing_start_market_cap,1899,,,JST_R6_EQ_TR,0.04194788634777069,,,
1900,FIN,false,missing_start_market_cap,1899,,,JST_R6_EQ_TR,-0.02435016818344593,,,
1900,FRA,true,,1899,3635149474.382622,0.16257455800062914,JST_R6_EQ_TR,0.039699506014585495,0.04226329591129274,0.043480341916098286,0.006870936652428214
1900,GBR,true,,1899,6803741482.909087,0.3042832962246615,JST_R6_EQ_TR,0.09459999948740005,0.09459999948740005,0.0958781588176405,0.028785199666877377
1900,ITA,true,,1899,34811488.173808396,0.0015568719644361274,JST_R6_EQ_TR,0.0478999987244606,0.05931088800276685,0.06054784040159755,0.00009233945871731877
1900,JPN,true,,1899,112438455.19277076,0.005028577857405103,JST_R6_EQ_TR,-0.16178876161575317,-0.1660436409984144,-0.1650698340353498,-0.0008349633764875488
1900,NLD,false,missing_start_market_cap,1899,,,JST_R6_EQ_TR,0.06770267337560654,,,
1900,NOR,true,,1899,52094004.80423792,0.0023297968529808516,JST_R6_EQ_TR,0.0013829410308972,0.008543545119676699,0.00972121672825721,0.000019904724533122684
1900,PRT,true,,1899,55830617.0364481,0.0024969091234259303,JST_R6_EQ_TR,0.10583502054214478,0.12263251452506352,0.12394340729278097,0.000306202244346294
1900,SWE,true,,1899,56306291.33116056,0.002518182674557765,JST_R6_EQ_TR,0.06430868059396744,0.06957753544839296,0.07082647616371296,0.00017520894430457187
1900,USA,true,,1899,8180470466.61377,0.36585465872013545,JST_R6_EQ_TR,0.191029891371727,0.191029891371727,0.19242065143838616,0.06988917571314772
1901,AUS,true,,1900,272628472.9732804,0.010757675385869173,JST_R6_EQ_TR,-0.03200000151991844,-0.031019956112836256,-0.03468718992646236,-0.00033370261834580057
1901,BEL,true,,1900,661682597.5491316,0.026109402716751103,JST_R6_EQ_TR,-0.10635245591402054,-0.086308025018634,-0.08976601378427329,-0.0022534509828989447
1901,CAN,true,,1900,347032487.39242554,0.013693591160906873,KZ_R1_EQ_TR_FALLBACK,0.10514286905527115,0.10514286905527115,0.10096030892531327,0.0014397834623276497
1901,CHE,false,missing_start_market_cap,1900,,,JST_R6_EQ_TR,0.03180791437625885,,,
1901,DEU,true,,1900,1951823218.8483992,0.07701719622304906,JST_R6_EQ_TR,0.038567397743463516,0.04251292652852601,0.03856739774346374,0.0032742264044635554
1901,DNK,true,,1900,113277440.56172837,0.0044698263567818745,JST_R6_EQ_TR,0.050443459302186966,0.05660398472381978,0.05260512645544191,0.00025300998281740824
1901,ESP,true,,1900,104309654.38718921,0.0041159655456074196,JST_R6_EQ_TR,0.022268075495958328,-0.04421704197719101,-0.0478343296646524,-0.00018199582130679515
1901,FIN,false,missing_start_market_cap,1900,,,JST_R6_EQ_TR,0,,,
1901,FRA,true,,1900,3644113371.5870814,0.14379345008722247,JST_R6_EQ_TR,-0.05437985435128212,-0.052800247750805496,-0.05638505115477643,-0.00759232978954843
1901,GBR,true,,1900,6804389132.599886,0.2684951013712334,JST_R6_EQ_TR,0.04909999668598175,0.05114502591928782,0.04716682780633996,0.013732188918833543
1901,ITA,true,,1900,352447500.2461899,0.013907262718597822,JST_R6_EQ_TR,0.039799999445676804,0.06294953561144312,0.05892666176201389,0.0008754557297620688
1901,JPN,true,,1900,111800561.40482977,0.004411550027898103,JST_R6_EQ_TR,-0.0845838338136673,-0.08224858849176331,-0.08572194073468942,-0.00036284376285541806
1901,NLD,true,,1900,396577579.2683506,0.015648596115273847,JST_R6_EQ_TR,0.008843154646456242,0.011311602117421105,0.007484158893183546,0.00017701069295219933
1901,NOR,true,,1900,52386342.23890797,0.0020671181491540374,JST_R6_EQ_TR,0.017377113923430443,0.021608067703842826,0.01774165613655465,0.00004466642891876271
1901,PRT,true,,1900,52705672.09457685,0.002079718619276756,JST_R6_EQ_TR,0.09837999194860458,0.08982971608294155,0.08570511061647501,0.0001868205331020382
1901,SWE,true,,1900,58574425.616575025,0.0023112943773800575,JST_R6_EQ_TR,0.007049345411360264,0.010123651705799652,0.006300704437847138,0.000023398739266168764
1901,USA,true,,1900,10418945312.5,0.4111222511449979,JST_R6_EQ_TR,0.20378455519676208,0.20378455519676208,0.19922867249000475,0.0837803650810749
1902,AUS,true,,1901,253402143.99083248,0.008685807393394538,JST_R6_EQ_TR,0.15600000321865082,0.1554787061237708,0.15779778029561964,0.001350458095165265
1902,BEL,true,,1901,588514164.7196262,0.020172365563031976,JST_R6_EQ_TR,0.017839796841144562,0.04921828768788483,0.05132409458740872,0.0009928492916264887
1902,CAN,true,,1901,398735553.02619934,0.013667367449777843,KZ_R1_EQ_TR_FALLBACK,0.15051087737083435,0.15051087737083435,0.1528199809882369,0.002057087466215646
1902,CHE,false,missing_start_market_cap,1901,,,JST_R6_EQ_TR,0.08464536815881729,,,
1902,DEU,true,,1901,1861276471.3554564,0.0637985483525956,JST_R6_EQ_TR,0.08680732548236847,0.0846304455114475,0.08680732548236847,0.00539929957006379
1902,DNK,true,,1901,116999796.44983543,0.004010375291325087,JST_R6_EQ_TR,0.084967240691185,0.08306771451527961,0.08524145804666983,0.00033313270979892367
1902,ESP,true,,1901,101536270.22684619,0.003480335536016429,JST_R6_EQ_TR,0.043839555233716965,0.06769874506763052,0.06984164269947701,0.00023561434820259142
1902,FIN,false,missing_start_market_cap,1901,,,JST_R6_EQ_TR,0.0015480522997677326,,,
1902,FRA,true,,1901,3771367195.8168526,0.12927029170604307,JST_R6_EQ_TR,0.007407220080494881,0.007397186671708855,0.009419057593277547,0.0009562364788558576
1902,GBR,true,,1901,6398118262.634872,0.21930683787512503,JST_R6_EQ_TR,0.05889999866485596,0.05838421688274931,0.06050842002752144,0.01280405798637124
1902,ITA,false,missing_start_market_cap,1901,,,JST_R6_EQ_TR,-0.01640000008046627,,,
