year,jst_cpi,annual_factor,monthly_factor,method
1900,1.2643617291677967e-11,1.0252100926231027,1.002076950546634,synthetic_full_year
1901,1.2643617291677967e-11,1,1,synthetic_full_year
1902,1.2747253490839261e-11,1.0081967206670759,1.0006805072734162,synthetic_full_year
1903,1.2747253490839261e-11,1,1,synthetic_full_year
1904,1.2747253490839261e-11,1,1,synthetic_full_year
1905,1.3161798305513671e-11,1.0325203240817578,1.0026704534923265,synthetic_full_year
1906,1.3887251706925117e-11,1.0551181065514081,1.0044810692647226,synthetic_full_year
1907,1.3783615523991073e-11,0.9925373151490899,0.9993759722863327,synthetic_full_year
1908,1.3783615523991073e-11,1,1,synthetic_full_year
1909,1.4198160385765414e-11,1.0300751904355432,1.00247236794007,synthetic_full_year
1910,1.4716341395648174e-11,1.0364963485271141,1.0029916435605728,synthetic_full_year
1911,1.4716341395648174e-11,1,1,synthetic_full_year
1912,1.492361378020115e-11,1.0140845050397018,1.001166199482393,synthetic_full_year
1913,1.5027249944261957e-11,1.006944441580115,1.0005768696586725,synthetic_full_year
1914,1.544179487029796e-11,1.0275862135502907,1.0022702873751703,synthetic_full_year
1915,1.9379970725641004e-11,1.255033555905995,1.019110504577695,synthetic_full_year
1916,2.5494506967403004e-11,1.3155080226035665,1.0231150152252713,synthetic_full_year
1917,3.824176052345169e-11,1.5000000028377558,1.0343660832949877,synthetic_full_year
1918,4.7050837962563053e-11,1.2303522986006152,1.0174251223851971,synthetic_full_year
1919,6.249263288262212e-11,1.3281938343445796,1.0239335855643767,synthetic_full_year
1920,1.5338158650649405e-10,2.4543946931246388,1.0776937567719604,synthetic_full_year
1921,2.0105424070659674e-10,1.3108108038645452,1.0228100837310303,synthetic_full_year
1922,2.259269310196312e-9,11.237113438921778,1.2233608096289963,synthetic_full_year
1923,2.388266141806678,1057096704.2433543,5.6494941061593895,synthetic_full_year
1924,19.802945276729737,8.291766537270918,1.192762350396902,synthetic_full_year
1925,21.65947135982542,1.0937499981519048,1.0074956324076008,synthetic_full_year
1926,21.81418189639468,1.0071428583827868,1.0005932983485486,synthetic_full_year
1927,22.89715545688216,1.049645389665815,1.0040458610704484,synthetic_full_year
1928,23.515997494325248,1.0270270269426451,1.0022248251754635,synthetic_full_year
1929,23.82541852429542,1.0131578951751818,1.0010899337131711,synthetic_full_year
1930,22.89715545688216,0.9610389607021307,0.9966937835271257,synthetic_full_year
1931,21.040629339347035,0.9189189189447062,0.9929783190120985,synthetic_full_year
1932,18.719971694232836,0.8897058824768871,0.9903085725243715,synthetic_full_year
1933,18.255840167016665,0.9752066116980743,0.9979100269580944,synthetic_full_year
1934,18.71997169423284,1.0254237286791508,1.0020943501773165,synthetic_full_year
1935,19.02939269921157,1.016528924831337,1.0013670843590377,synthetic_full_year
1936,19.184103223682772,1.0081300820744328,1.0006749952901925,synthetic_full_year
1937,19.338813739405722,1.008064516434209,1.0006695717298053,synthetic_full_year
1938,19.49352423666623,1.00799999934563,1.0006642345894885,synthetic_full_year
1939,19.49352423666623,1,1,synthetic_full_year
1940,20.112366285899107,1.03174603225767,1.0026077730068625,synthetic_full_year
1941,20.576497820385075,1.0230769233161476,1.0019030316373518,synthetic_full_year
1942,21.195339868439003,1.0300751883753922,1.0024723677729912,synthetic_full_year
1943,21.350050371401743,1.007299269741511,1.0006062469434396,synthetic_full_year
1944,21.814181896394675,1.021739130209015,1.0017937906711194,synthetic_full_year
1945,22.433023935057417,1.0283687942826323,1.002333873586185,synthetic_full_year
1946,24.44426054889492,1.0896551717530343,1.007180766442659,synthetic_full_year
1947,26.146076159445776,1.0696202532756833,1.0056243980352233,synthetic_full_year
1948,30.168549425585496,1.1538461542607616,1.0119964574678766,synthetic_full_year
1949,32.29096830178449,1.0703520360312386,1.0056817133874207,synthetic_full_year
1950,30.282438498705474,0.9377990221814433,0.9946626599020347,synthetic_full_year
1951,32.599972081874945,1.0765306130570873,1.0061642106139124,synthetic_full_year
1952,33.29523218101175,1.021327015170156,1.001760111931797,synthetic_full_year
1953,32.67722355966636,0.9814385249519948,0.9984398931505724,synthetic_full_year
1954,32.75447503341013,1.0023640770337392,1.0001967932779237,synthetic_full_year
1955,33.29523218101175,1.0165094127458931,1.00136548259022,observed_splice_month_only
